window,fund_total,bench_total,excess,fund_max_dd,bench_max_dd
Dot-com bust (2000-2002),0.32431379354706813,-0.33257158732146364,0.6568853808685318,-0.21536383708094708,-0.47515871975986756
Global Financial Crisis (2008-2009),-0.20004905082995017,-0.3716146836612447,0.17156563283129456,-0.3614271123804206,-0.5518944271678048
COVID crash (2020),0.18780585038305642,0.18379436691614348,0.004011483466912935,-0.18521390300150442,-0.33717258279330087
Rates bear (2022),0.06066908213542899,-0.18175367979931012,0.2424227619347391,-0.14172349501763504,-0.2449636557573781
