,Strategy,SPY
CAGR,0.12015312135980172,0.08107185664006877
Ann Vol,0.15510095864362058,0.19343927705319572
Sharpe,0.6168788451541304,0.3453461146594989
Sortino,0.8477635264058304,0.4434219364997055
Max Drawdown,-0.36142711238042113,-0.5518944271678049
Calmar,0.33244080824056776,0.1468974003888948
Final $,19.08117500344933,7.582309395023517
Alpha (ann),0.052459643386098216,0.0
Beta,0.6472426582047605,1.0
