,Strategy (WF OOS),SPY (same window)
CAGR,0.11028847734518532,0.0945786801443198
Ann Vol,0.14914084956079365,0.18986487504587818
Sharpe,0.5757446641242764,0.4135920746002411
Sortino,0.7702402736097468,0.5059320745039598
Max Drawdown,-0.35615667332404743,-0.5518944271678048
Calmar,0.30966281304194426,0.17137096424342574
Final $,8.102000346788659,6.0930149593650516
Alpha (ann),0.03376807976165272,0.0
Beta,0.6579844513513674,1.0
